index,color,RedCount,BlueCount,GreenCount,YellowCount,BlackCount
283,black,62,55,60,50,56
284,blue,62,56,60,50,56
285,green,62,56,61,50,56
286,black,62,56,61,50,57
287,black,62,56,61,50,58
288,blue,62,57,61,50,58
289,black,62,57,61,50,59
290,red,63,57,61,50,59
291,blue,63,58,61,50,59
292,blue,63,59,61,50,59
293,green,63,59,62,50,59
294,red,64,59,62,50,59
295,green,64,59,63,50,59
296,green,64,59,64,50,59
297,black,64,59,64,50,60
298,red,65,59,64,50,60
299,blue,65,60,64,50,60
300,black,65,60,64,50,61
301,red,66,60,64,50,61
302,blue,66,61,64,50,61
303,blue,66,62,64,50,61
304,black,66,62,64,50,62
305,blue,66,63,64,50,62
306,green,66,63,65,50,62
307,black,66,63,65,50,63
308,green,66,63,66,50,63
309,red,67,63,66,50,63
310,red,68,63,66,50,63
311,green,68,63,67,50,63
312,yellow,68,63,67,51,63
313,yellow,68,63,67,52,63
314,black,68,63,67,52,64
315,red,69,63,67,52,64
316,blue,69,64,67,52,64
317,blue,69,65,67,52,64
318,black,69,65,67,52,65
319,green,69,65,68,52,65
320,green,69,65,69,52,65
321,black,69,65,69,52,66
322,blue,69,66,69,52,66
323,green,69,66,70,52,66
324,yellow,69,66,70,53,66
325,red,70,66,70,53,66
326,yellow,70,66,70,54,66
327,black,70,66,70,54,67
328,yellow,70,66,70,55,67
329,red,71,66,70,55,67
330,yellow,71,66,70,56,67
331,blue,71,67,70,56,67
332,green,71,67,71,56,67
333,red,72,67,71,56,67
334,red,73,67,71,56,67
335,black,73,67,71,56,68
336,blue,73,68,71,56,68
337,yellow,73,68,71,57,68
338,red,74,68,71,57,68
339,black,74,68,71,57,69
340,blue,74,69,71,57,69
341,red,75,69,71,57,69
342,green,75,69,72,57,69
343,blue,75,70,72,57,69
344,blue,75,71,72,57,69
345,yellow,75,71,72,58,69
346,black,75,71,72,58,70
347,blue,75,72,72,58,70
348,yellow,75,72,72,59,70
349,black,75,72,72,59,71
350,red,76,72,72,59,71
351,red,77,72,72,59,71
352,blue,77,73,72,59,71
353,green,77,73,73,59,71
354,black,77,73,73,59,72
355,blue,77,74,73,59,72
356,green,77,74,74,59,72
357,black,77,74,74,59,73
358,green,77,74,75,59,73
359,yellow,77,74,75,60,73
360,black,77,74,75,60,74
361,black,77,74,75,60,75
362,blue,77,75,75,60,75
363,black,77,75,75,60,76
364,blue,77,76,75,60,76
365,blue,77,77,75,60,76
366,red,78,77,75,60,76
367,blue,78,78,75,60,76
368,red,79,78,75,60,76
369,black,79,78,75,60,77
370,blue,79,79,75,60,77
371,yellow,79,79,75,61,77
372,red,80,79,75,61,77
373,yellow,80,79,75,62,77
374,red,81,79,75,62,77
375,red,82,79,75,62,77
376,red,83,79,75,62,77
377,red,84,79,75,62,77
378,yellow,84,79,75,63,77
379,red,85,79,75,63,77
380,blue,85,80,75,63,77
381,black,85,80,75,63,78
382,green,85,80,76,63,78
383,blue,85,81,76,63,78
384,blue,85,82,76,63,78
385,yellow,85,82,76,64,78
386,yellow,85,82,76,65,78
387,blue,85,83,76,65,78
388,red,86,83,76,65,78
389,black,86,83,76,65,79
390,black,86,83,76,65,80
391,green,86,83,77,65,80
392,black,86,83,77,65,81
393,green,86,83,78,65,81
394,yellow,86,83,78,66,81
395,green,86,83,79,66,81
396,blue,86,84,79,66,81
397,blue,86,85,79,66,81
398,yellow,86,85,79,67,81
399,red,87,85,79,67,81
400,yellow,87,85,79,68,81
401,blue,87,86,79,68,81
402,black,87,86,79,68,82
403,yellow,87,86,79,69,82
404,black,87,86,79,69,83
405,black,87,86,79,69,84
406,red,88,86,79,69,84
407,yellow,88,86,79,70,84
408,blue,88,87,79,70,84
409,yellow,88,87,79,71,84
410,red,89,87,79,71,84
411,yellow,89,87,79,72,84
412,blue,89,88,79,72,84
413,green,89,88,80,72,84
414,black,89,88,80,72,85
415,black,89,88,80,72,86
416,black,89,88,80,72,87
417,black,89,88,80,72,88
418,yellow,89,88,80,73,88
419,black,89,88,80,73,89
420,black,89,88,80,73,90
421,green,89,88,81,73,90
422,black,89,88,81,73,91
423,green,89,88,82,73,91
424,black,89,88,82,73,92
425,green,89,88,83,73,92
426,blue,89,89,83,73,92
427,black,89,89,83,73,93
428,yellow,89,89,83,74,93
429,blue,89,90,83,74,93
430,yellow,89,90,83,75,93
431,red,90,90,83,75,93
432,blue,90,91,83,75,93
433,black,90,91,83,75,94
434,black,90,91,83,75,95
435,yellow,90,91,83,76,95
436,yellow,90,91,83,77,95
437,blue,90,92,83,77,95
438,red,91,92,83,77,95
439,blue,91,93,83,77,95
440,blue,91,94,83,77,95
441,black,91,94,83,77,96
442,green,91,94,84,77,96
443,blue,91,95,84,77,96
444,green,91,95,85,77,96
445,blue,91,96,85,77,96
446,green,91,96,86,77,96
447,yellow,91,96,86,78,96
448,red,92,96,86,78,96
449,red,93,96,86,78,96
450,black,93,96,86,78,97
451,yellow,93,96,86,79,97
452,yellow,93,96,86,80,97
453,yellow,93,96,86,81,97
454,green,93,96,87,81,97
455,yellow,93,96,87,82,97
456,green,93,96,88,82,97
457,black,93,96,88,82,98
458,red,94,96,88,82,98
459,red,95,96,88,82,98
460,black,95,96,88,82,99
461,blue,95,97,88,82,99
462,black,95,97,88,82,100
463,green,95,97,89,82,100
464,yellow,95,97,89,83,100
465,green,95,97,90,83,100
466,black,95,97,90,83,101
467,blue,95,98,90,83,101
468,green,95,98,91,83,101
469,blue,95,99,91,83,101
470,red,96,99,91,83,101
471,green,96,99,92,83,101
472,black,96,99,92,83,102
473,yellow,96,99,92,84,102
474,green,96,99,93,84,102
475,red,97,99,93,84,102
476,blue,97,100,93,84,102
477,green,97,100,94,84,102
478,yellow,97,100,94,85,102
479,yellow,97,100,94,86,102
480,yellow,97,100,94,87,102
481,blue,97,101,94,87,102
482,blue,97,102,94,87,102
483,green,97,102,95,87,102
484,blue,97,103,95,87,102
485,blue,97,104,95,87,102
486,yellow,97,104,95,88,102
487,black,97,104,95,88,103
488,green,97,104,96,88,103
489,black,97,104,96,88,104
490,green,97,104,97,88,104
491,green,97,104,98,88,104
492,green,97,104,99,88,104
493,yellow,97,104,99,89,104
494,red,98,104,99,89,104
495,yellow,98,104,99,90,104
496,red,99,104,99,90,104
497,blue,99,105,99,90,104
498,blue,99,106,99,90,104
499,green,99,106,100,90,104
500,green,99,106,101,90,104
501,black,99,106,101,90,105
502,blue,99,107,101,90,105
503,yellow,99,107,101,91,105
504,blue,99,108,101,91,105
505,blue,99,109,101,91,105
506,blue,99,110,101,91,105
507,blue,99,111,101,91,105
508,blue,99,112,101,91,105
509,black,99,112,101,91,106
510,black,99,112,101,91,107
511,black,99,112,101,91,108
512,blue,99,113,101,91,108
513,yellow,99,113,101,92,108
514,blue,99,114,101,92,108
515,yellow,99,114,101,93,108
516,green,99,114,102,93,108
517,yellow,99,114,102,94,108
518,red,100,114,102,94,108
519,green,100,114,103,94,108
520,green,100,114,104,94,108
521,yellow,100,114,104,95,108
522,black,100,114,104,95,109
523,blue,100,115,104,95,109
524,blue,100,116,104,95,109
525,red,101,116,104,95,109
526,yellow,101,116,104,96,109
527,red,102,116,104,96,109
528,green,102,116,105,96,109
529,black,102,116,105,96,110
530,red,103,116,105,96,110
531,blue,103,117,105,96,110
532,black,103,117,105,96,111
533,blue,103,118,105,96,111
534,blue,103,119,105,96,111
535,green,103,119,106,96,111
536,blue,103,120,106,96,111
537,black,103,120,106,96,112
538,yellow,103,120,106,97,112
539,black,103,120,106,97,113
540,green,103,120,107,97,113
541,black,103,120,107,97,114
542,red,104,120,107,97,114
543,yellow,104,120,107,98,114
544,red,105,120,107,98,114
545,black,105,120,107,98,115
546,black,105,120,107,98,116
547,blue,105,121,107,98,116
548,blue,105,122,107,98,116
549,green,105,122,108,98,116
550,green,105,122,109,98,116
551,green,105,122,110,98,116
552,green,105,122,111,98,116
553,green,105,122,112,98,116
554,green,105,122,113,98,116
555,black,105,122,113,98,117
556,yellow,105,122,113,99,117
557,green,105,122,114,99,117
558,yellow,105,122,114,100,117
559,yellow,105,122,114,101,117
560,blue,105,123,114,101,117
561,yellow,105,123,114,102,117
562,green,105,123,115,102,117
563,green,105,123,116,102,117
564,black,105,123,116,102,118
565,red,106,123,116,102,118
566,yellow,106,123,116,103,118
567,yellow,106,123,116,104,118
568,red,107,123,116,104,118
569,green,107,123,117,104,118
570,yellow,107,123,117,105,118
571,red,108,123,117,105,118
572,blue,108,124,117,105,118
573,yellow,108,124,117,106,118
574,red,109,124,117,106,118
575,blue,109,125,117,106,118
576,red,110,125,117,106,118
577,black,110,125,117,106,119
578,red,111,125,117,106,119
579,black,111,125,117,106,120
580,black,111,125,117,106,121
581,blue,111,126,117,106,121
582,blue,111,127,117,106,121
583,red,112,127,117,106,121
584,black,112,127,117,106,122
585,blue,112,128,117,106,122
586,blue,112,129,117,106,122
587,black,112,129,117,106,123
588,blue,112,130,117,106,123
589,blue,112,131,117,106,123
590,black,112,131,117,106,124
591,black,112,131,117,106,125
592,green,112,131,118,106,125
593,red,113,131,118,106,125
594,yellow,113,131,118,107,125
595,black,113,131,118,107,126
596,green,113,131,119,107,126
597,yellow,113,131,119,108,126
598,yellow,113,131,119,109,126
599,red,114,131,119,109,126
600,black,114,131,119,109,127
601,yellow,114,131,119,110,127
602,green,114,131,120,110,127
603,black,114,131,120,110,128
604,blue,114,132,120,110,128
605,red,115,132,120,110,128
606,yellow,115,132,120,111,128
607,yellow,115,132,120,112,128
608,red,116,132,120,112,128
609,green,116,132,121,112,128
610,red,117,132,121,112,128
611,blue,117,133,121,112,128
612,green,117,133,122,112,128
613,red,118,133,122,112,128
614,red,119,133,122,112,128
615,black,119,133,122,112,129
616,red,120,133,122,112,129
617,black,120,133,122,112,130
618,black,120,133,122,112,131
619,red,121,133,122,112,131
620,black,121,133,122,112,132
621,black,121,133,122,112,133
622,red,122,133,122,112,133
623,black,122,133,122,112,134
624,black,122,133,122,112,135
625,blue,122,134,122,112,135
626,black,122,134,122,112,136
627,yellow,122,134,122,113,136
628,red,123,134,122,113,136
629,red,124,134,122,113,136
630,green,124,134,123,113,136
631,red,125,134,123,113,136
632,green,125,134,124,113,136
633,black,125,134,124,113,137
634,green,125,134,125,113,137
635,blue,125,135,125,113,137
636,black,125,135,125,113,138
637,red,126,135,125,113,138
638,green,126,135,126,113,138
639,red,127,135,126,113,138
640,red,128,135,126,113,138
641,red,129,135,126,113,138
642,red,130,135,126,113,138
643,green,130,135,127,113,138
644,black,130,135,127,113,139
645,red,131,135,127,113,139
646,blue,131,136,127,113,139
647,yellow,131,136,127,114,139
648,black,131,136,127,114,140
649,black,131,136,127,114,141
650,yellow,131,136,127,115,141
651,yellow,131,136,127,116,141
652,black,131,136,127,116,142
653,blue,131,137,127,116,142
654,green,131,137,128,116,142
655,red,132,137,128,116,142
656,red,133,137,128,116,142
657,red,134,137,128,116,142
658,blue,134,138,128,116,142
659,blue,134,139,128,116,142
660,blue,134,140,128,116,142
661,yellow,134,140,128,117,142
662,green,134,140,129,117,142
663,blue,134,141,129,117,142
664,blue,134,142,129,117,142
665,yellow,134,142,129,118,142
666,green,134,142,130,118,142
667,blue,134,143,130,118,142
668,black,134,143,130,118,143
669,blue,134,144,130,118,143
670,blue,134,145,130,118,143
671,red,135,145,130,118,143
672,red,136,145,130,118,143
673,red,137,145,130,118,143
674,red,138,145,130,118,143
675,yellow,138,145,130,119,143
676,red,139,145,130,119,143
677,black,139,145,130,119,144
678,red,140,145,130,119,144
679,green,140,145,131,119,144
680,blue,140,146,131,119,144
681,black,140,146,131,119,145
682,yellow,140,146,131,120,145
683,black,140,146,131,120,146
684,green,140,146,132,120,146
685,blue,140,147,132,120,146
686,green,140,147,133,120,146
687,black,140,147,133,120,147
688,yellow,140,147,133,121,147
689,black,140,147,133,121,148
690,red,141,147,133,121,148
691,red,142,147,133,121,148
692,blue,142,148,133,121,148
693,green,142,148,134,121,148
694,green,142,148,135,121,148
695,red,143,148,135,121,148
696,blue,143,149,135,121,148
697,red,144,149,135,121,148
698,black,144,149,135,121,149
699,yellow,144,149,135,122,149
700,black,144,149,135,122,150
701,black,144,149,135,122,151
702,yellow,144,149,135,123,151
703,blue,144,150,135,123,151
704,blue,144,151,135,123,151
705,blue,144,152,135,123,151
706,yellow,144,152,135,124,151
707,red,145,152,135,124,151
708,yellow,145,152,135,125,151
709,red,146,152,135,125,151
710,black,146,152,135,125,152
711,yellow,146,152,135,126,152
712,blue,146,153,135,126,152
713,blue,146,154,135,126,152
714,blue,146,155,135,126,152
715,red,147,155,135,126,152
716,green,147,155,136,126,152
717,red,148,155,136,126,152
718,green,148,155,137,126,152
719,yellow,148,155,137,127,152
720,green,148,155,138,127,152
721,blue,148,156,138,127,152
722,green,148,156,139,127,152
723,blue,148,157,139,127,152
724,yellow,148,157,139,128,152
725,yellow,148,157,139,129,152
726,green,148,157,140,129,152
727,yellow,148,157,140,130,152
728,blue,148,158,140,130,152
729,yellow,148,158,140,131,152
730,black,148,158,140,131,153
731,green,148,158,141,131,153
732,black,148,158,141,131,154
733,yellow,148,158,141,132,154
734,red,149,158,141,132,154
735,blue,149,159,141,132,154
736,yellow,149,159,141,133,154
737,red,150,159,141,133,154
738,red,151,159,141,133,154
739,black,151,159,141,133,155
740,red,152,159,141,133,155
741,red,153,159,141,133,155
742,black,153,159,141,133,156
743,black,153,159,141,133,157
744,yellow,153,159,141,134,157
745,blue,153,160,141,134,157
746,red,154,160,141,134,157
747,red,155,160,141,134,157
748,yellow,155,160,141,135,157
749,yellow,155,160,141,136,157
750,red,156,160,141,136,157
751,red,157,160,141,136,157
752,blue,157,161,141,136,157
753,blue,157,162,141,136,157
754,yellow,157,162,141,137,157
755,black,157,162,141,137,158
756,red,158,162,141,137,158
757,yellow,158,162,141,138,158
758,blue,158,163,141,138,158
759,green,158,163,142,138,158
760,black,158,163,142,138,159
761,blue,158,164,142,138,159
762,blue,158,165,142,138,159
763,green,158,165,143,138,159
764,yellow,158,165,143,139,159
765,black,158,165,143,139,160
766,green,158,165,144,139,160
767,black,158,165,144,139,161
768,yellow,158,165,144,140,161
769,blue,158,166,144,140,161
770,red,159,166,144,140,161
771,yellow,159,166,144,141,161
772,green,159,166,145,141,161
773,yellow,159,166,145,142,161
774,black,159,166,145,142,162
775,green,159,166,146,142,162
776,yellow,159,166,146,143,162
777,red,160,166,146,143,162
778,green,160,166,147,143,162
779,green,160,166,148,143,162
780,red,161,166,148,143,162
781,red,162,166,148,143,162
782,black,162,166,148,143,163
783,red,163,166,148,143,163
784,red,164,166,148,143,163
785,blue,164,167,148,143,163
786,green,164,167,149,143,163
787,green,164,167,150,143,163
788,green,164,167,151,143,163
789,green,164,167,152,143,163
790,red,165,167,152,143,163
791,blue,165,168,152,143,163
792,red,166,168,152,143,163
793,blue,166,169,152,143,163
794,blue,166,170,152,143,163
795,red,167,170,152,143,163
796,black,167,170,152,143,164
797,blue,167,171,152,143,164
798,blue,167,172,152,143,164
799,yellow,167,172,152,144,164
800,green,167,172,153,144,164
801,black,167,172,153,144,165
802,blue,167,173,153,144,165
803,yellow,167,173,153,145,165
804,yellow,167,173,153,146,165
805,red,168,173,153,146,165
806,green,168,173,154,146,165
807,blue,168,174,154,146,165
808,black,168,174,154,146,166
809,blue,168,175,154,146,166
810,blue,168,176,154,146,166
811,green,168,176,155,146,166
812,black,168,176,155,146,167
813,red,169,176,155,146,167
814,green,169,176,156,146,167
815,yellow,169,176,156,147,167
816,green,169,176,157,147,167
817,red,170,176,157,147,167
818,black,170,176,157,147,168
819,red,171,176,157,147,168
820,blue,171,177,157,147,168
821,black,171,177,157,147,169
822,red,172,177,157,147,169
823,blue,172,178,157,147,169
824,green,172,178,158,147,169
825,red,173,178,158,147,169
826,red,174,178,158,147,169
827,red,175,178,158,147,169
828,blue,175,179,158,147,169
829,red,176,179,158,147,169
830,green,176,179,159,147,169
831,yellow,176,179,159,148,169
832,green,176,179,160,148,169
833,yellow,176,179,160,149,169
834,black,176,179,160,149,170
835,black,176,179,160,149,171
836,green,176,179,161,149,171
837,green,176,179,162,149,171
838,blue,176,180,162,149,171
839,blue,176,181,162,149,171
840,red,177,181,162,149,171
841,red,178,181,162,149,171
842,green,178,181,163,149,171
843,red,179,181,163,149,171
844,black,179,181,163,149,172
845,yellow,179,181,163,150,172
846,red,180,181,163,150,172
847,red,181,181,163,150,172
848,green,181,181,164,150,172
849,red,182,181,164,150,172
850,black,182,181,164,150,173
851,yellow,182,181,164,151,173
852,red,183,181,164,151,173
853,green,183,181,165,151,173
854,black,183,181,165,151,174
855,blue,183,182,165,151,174
856,red,184,182,165,151,174
857,blue,184,183,165,151,174
858,green,184,183,166,151,174
859,black,184,183,166,151,175
860,blue,184,184,166,151,175
861,yellow,184,184,166,152,175
862,red,185,184,166,152,175
863,red,186,184,166,152,175
864,red,187,184,166,152,175
865,blue,187,185,166,152,175
866,red,188,185,166,152,175
867,yellow,188,185,166,153,175
868,red,189,185,166,153,175
869,blue,189,186,166,153,175
870,yellow,189,186,166,154,175
871,yellow,189,186,166,155,175
872,blue,189,187,166,155,175
873,red,190,187,166,155,175
874,blue,190,188,166,155,175
875,red,191,188,166,155,175
876,red,192,188,166,155,175
877,green,192,188,167,155,175
878,black,192,188,167,155,176
879,blue,192,189,167,155,176
880,red,193,189,167,155,176
881,blue,193,190,167,155,176
882,black,193,190,167,155,177
883,black,193,190,167,155,178
884,yellow,193,190,167,156,178
885,yellow,193,190,167,157,178
886,yellow,193,190,167,158,178
887,blue,193,191,167,158,178
888,green,193,191,168,158,178
889,green,193,191,169,158,178
890,green,193,191,170,158,178
891,green,193,191,171,158,178
892,green,193,191,172,158,178
893,red,194,191,172,158,178
894,blue,194,192,172,158,178
895,green,194,192,173,158,178
896,green,194,192,174,158,178
897,red,195,192,174,158,178
898,green,195,192,175,158,178
899,green,195,192,176,158,178
900,black,195,192,176,158,179
901,green,195,192,177,158,179
902,green,195,192,178,158,179
903,blue,195,193,178,158,179
904,blue,195,194,178,158,179
905,yellow,195,194,178,159,179
906,black,195,194,178,159,180
907,blue,195,195,178,159,180
908,red,196,195,178,159,180
909,blue,196,196,178,159,180
910,green,196,196,179,159,180
911,red,197,196,179,159,180
912,green,197,196,180,159,180
913,yellow,197,196,180,160,180
914,green,197,196,181,160,180
915,blue,197,197,181,160,180
916,green,197,197,182,160,180
917,green,197,197,183,160,180
918,blue,197,198,183,160,180
919,green,197,198,184,160,180
920,green,197,198,185,160,180
921,blue,197,199,185,160,180
922,yellow,197,199,185,161,180
923,yellow,197,199,185,162,180
924,black,197,199,185,162,181
925,black,197,199,185,162,182
926,black,197,199,185,162,183
927,green,197,199,186,162,183
928,blue,197,200,186,162,183
929,yellow,197,200,186,163,183
930,blue,197,201,186,163,183
931,black,197,201,186,163,184
932,blue,197,202,186,163,184
933,yellow,197,202,186,164,184
934,green,197,202,187,164,184
935,red,198,202,187,164,184
936,black,198,202,187,164,185
937,green,198,202,188,164,185
938,yellow,198,202,188,165,185
939,blue,198,203,188,165,185
940,green,198,203,189,165,185
941,blue,198,204,189,165,185
942,blue,198,205,189,165,185
943,green,198,205,190,165,185
944,yellow,198,205,190,166,185
945,green,198,205,191,166,185
946,blue,198,206,191,166,185
947,black,198,206,191,166,186
948,black,198,206,191,166,187
949,blue,198,207,191,166,187
950,green,198,207,192,166,187
951,green,198,207,193,166,187
952,blue,198,208,193,166,187
953,blue,198,209,193,166,187
954,blue,198,210,193,166,187
955,black,198,210,193,166,188
956,green,198,210,194,166,188
